t,Magnitude,Latitude,Longitude,Depth,dt
708.562,4.753,29.196,102.273,0.0,10.577999999999975
719.14,4.754,29.277,102.278,0.0,27.101
746.241,5.012,29.169,102.272,0.0,11.272000000000048
757.513,4.754,29.277,102.278,0.0,12.913000000000011
770.426,4.754,29.169,102.272,0.0,9.093999999999937
779.52,4.753,29.196,102.273,0.0,8.238000000000056
787.758,4.754,29.223,102.275,0.0,6.996999999999957
794.755,4.746,23.355,102.862,0.0,0.4230000000000018
795.178,5.173,29.277,102.278,0.0,3.0130000000000337
798.191,5.167,29.169,102.272,0.0,6.717999999999961
804.909,4.748,23.329,102.853,0.0,1.782000000000039
806.691,4.754,29.277,102.278,0.0,6.05499999999995
812.746,4.746,23.355,102.862,0.0,8.265999999999963
821.012,5.01,29.169,102.272,0.0,2.3350000000000364
823.347,4.748,23.329,102.853,0.0,3.43100000000004
826.778,4.745,29.25,102.276,0.0,2.2819999999999254
829.06,4.72,29.196,102.273,-3000.0,1.677000000000021
830.737,4.746,23.355,102.862,0.0,3.633000000000038
834.37,5.161,29.277,102.278,0.0,7.414999999999964
841.785,4.748,23.329,102.853,0.0,0.10500000000001819
841.89,5.009,29.169,102.272,0.0,5.552999999999997
847.443,4.721,29.277,102.278,-3000.0,1.2860000000000582
848.729,4.746,23.355,102.862,0.0,0.6989999999999554
849.428,4.754,29.277,102.278,0.0,7.485000000000014
856.913,4.754,29.223,102.275,0.0,3.3099999999999454
860.223,4.748,23.329,102.853,0.0,0.08699999999998909
860.31,4.72,29.196,102.273,-3000.0,3.463000000000079
863.773,4.754,29.169,102.272,0.0,2.9470000000000027
866.72,4.746,23.355,102.862,0.0,1.794999999999959
868.515,4.753,29.196,102.273,0.0,6.778999999999996
875.294,4.721,29.169,102.272,-3000.0,3.3659999999999854
878.66,4.748,23.329,102.853,0.0,6.051000000000045
884.711,4.746,23.355,102.862,0.0,0.34799999999995634
885.059,5.736,29.277,102.278,-3000.0,2.758000000000038
887.817,4.993,29.223,102.275,0.0,7.0330000000000155
894.85,4.745,29.25,102.276,0.0,2.2479999999999336
897.098,4.748,23.329,102.853,0.0,2.171000000000049
899.269,4.754,29.277,102.278,0.0,3.4329999999999927
902.702,4.746,23.355,102.862,0.0,8.293000000000006
910.995,5.373,29.196,102.273,0.0,4.54099999999994
915.536,4.748,23.329,102.853,0.0,0.5460000000000491
916.082,4.966,29.277,102.278,-3000.0,4.586000000000013
920.668,5.011,29.196,102.273,0.0,0.024999999999977263
920.693,4.746,23.355,102.862,0.0,0.3530000000000655
921.046,4.719,29.196,102.273,-6000.0,11.766999999999939
932.813,4.746,27.048,102.744,0.0,1.1610000000000582
933.974,4.748,23.329,102.853,0.0,0.40199999999992997
934.376,4.749,25.86,103.268,0.0,3.560000000000059
937.936,5.162,29.223,102.275,0.0,0.74899999999991
938.685,4.746,23.355,102.862,0.0,1.350999999999999
940.036,4.976,29.277,102.278,-6000.0,2.937000000000012
942.973,4.754,29.223,102.275,0.0,2.490000000000009
945.463,5.148,29.223,102.275,-3000.0,1.2989999999999782
946.762,4.75,27.864,102.271,0.0,0.14800000000002456
946.91,5.005,28.09,102.204,0.0,1.2730000000000246
948.183,4.754,29.169,102.272,0.0,4.227999999999952
952.411,4.748,23.329,102.853,0.0,2.1800000000000637
954.591,4.753,29.196,102.273,0.0,1.5919999999999845
956.183,4.721,29.223,102.275,-3000.0,0.49300000000005184
956.676,4.746,23.355,102.862,0.0,1.524000000000001
958.2,5.872,29.142,102.27,0.0,5.778999999999996
963.979,5.385,25.86,103.268,0.0,5.12399999999991
969.103,4.72,29.277,102.278,-9000.0,1.539000000000101
970.642,4.754,29.169,102.272,0.0,0.20699999999999363
970.849,4.748,23.329,102.853,0.0,0.5149999999999864
971.364,4.713,23.355,102.862,-3000.0,0.6989999999999554
972.063,4.746,23.355,102.862,0.0,3.241999999999962
975.305,4.715,23.329,102.853,-3000.0,3.1370000000000573
978.442,4.755,28.09,102.204,0.0,3.6219999999999573
982.064,4.745,29.25,102.276,0.0,3.566000000000031
985.63,4.748,23.329,102.853,0.0,1.8170000000000073
987.447,4.746,27.048,102.744,0.0,1.649000000000001
989.096,4.983,23.355,102.862,0.0,3.2490000000000236
992.345,4.715,23.329,102.853,-3000.0,1.23599999999999
993.581,4.749,25.86,103.268,0.0,0.6229999999999336
994.204,5.362,29.196,102.273,0.0,0.1650000000000773
994.369,5.006,27.84,102.283,0.0,5.225000000000023
999.594,5.159,23.304,102.844,0.0,4.725999999999999
