-----------------------------------------------------------------------------------------
Lon	Lat	year	month	day	Mag	Z(km)	hr	min	sec	
-----------------------------------------------------------------------------------------
-2.97509	53.7858	2018	10	15	-1.828	-2.28428	13	24	2
-2.97186	53.786	2018	10	15	-2.169	-2.27763	16	32	0
-2.96736	53.7876	2018	10	15	-2.29	-2.1638	18	49	4
-2.97051	53.7879	2018	10	16	-1.864	-2.28625	1	6	52
-2.97539	53.7859	2018	10	16	-1.563	-2.30682	10	54	18
-2.97554	53.7852	2018	10	16	-1.875	-2.27454	11	4	18
-2.97465	53.7859	2018	10	16	-1.911	-2.29221	11	7	19
-2.97478	53.7859	2018	10	16	-1.761	-2.27707	11	11	7
-2.97494	53.7862	2018	10	16	-1.743	-2.27157	11	12	32
-2.97476	53.7861	2018	10	16	-2.079	-2.30194	11	12	33
-2.97499	53.7863	2018	10	16	-2.113	-2.25956	11	21	14
-2.97442	53.7858	2018	10	16	-2.006	-2.24808	11	22	10
-2.97496	53.7858	2018	10	16	-1.94	-2.26834	11	28	35
-2.97453	53.786	2018	10	16	-1.88	-2.30685	11	37	18
-2.97461	53.786	2018	10	16	-2.072	-2.28294	11	38	13
-2.97475	53.786	2018	10	16	-1.981	-2.27874	11	42	29
-2.97513	53.7862	2018	10	16	-1.956	-2.2712	11	53	15
-2.9749	53.7862	2018	10	16	-1.927	-2.27733	12	1	51
-2.97445	53.7855	2018	10	16	-2.083	-2.3257	12	5	29
-2.97483	53.7859	2018	10	16	-1.409	-2.27222	12	15	51
-2.97454	53.7859	2018	10	16	-1.941	-2.31776	12	17	10
-2.97494	53.7859	2018	10	16	-1.541	-2.26939	12	20	59
-2.97504	53.7859	2018	10	16	-1.938	-2.27826	12	26	36
-2.97475	53.786	2018	10	16	-2.094	-2.29743	12	27	18
-2.97466	53.7861	2018	10	16	-1.786	-2.27294	12	29	44
-2.97413	53.7865	2018	10	16	-2.085	-2.32479	12	40	11
-2.9744	53.7857	2018	10	16	-1.919	-2.31033	12	44	9
-2.97483	53.786	2018	10	16	-1.971	-2.29837	12	49	6
-2.97491	53.7854	2018	10	16	-1.966	-2.31555	12	50	12
-2.97471	53.7861	2018	10	16	-1.688	-2.27492	12	55	18
-2.975	53.7862	2018	10	16	-2.043	-2.25573	13	0	17
-2.97444	53.7861	2018	10	16	-2.07	-2.27263	13	14	7
-2.97484	53.786	2018	10	16	-1.353	-2.26894	13	33	15
-2.97477	53.7859	2018	10	16	-1.406	-2.28804	13	34	5
-2.97418	53.7868	2018	10	16	-1.944	-2.32334	13	34	30
-2.97524	53.7862	2018	10	16	-1.494	-2.26387	13	34	59
-2.97437	53.7867	2018	10	16	-1.874	-2.32525	13	35	11
-2.97493	53.7859	2018	10	16	-1.328	-2.29844	13	35	59
-2.97485	53.7862	2018	10	16	-1.306	-2.27208	13	36	9
-2.97502	53.7857	2018	10	16	-1.307	-2.28749	13	36	20
-2.97517	53.7865	2018	10	16	-1.581	-2.27495	13	36	29
-2.97507	53.7858	2018	10	16	-1.389	-2.28461	13	36	53
-2.97503	53.7859	2018	10	16	-1.636	-2.28888	13	37	1
-2.97476	53.7864	2018	10	16	-1.514	-2.28775	13	37	17
-2.97483	53.7861	2018	10	16	-1.481	-2.26544	13	37	26
-2.97382	53.7868	2018	10	16	-1.841	-2.36068	13	37	31
-2.9752	53.7859	2018	10	16	-1.356	-2.2901	13	37	41
-2.97496	53.786	2018	10	16	-1.59	-2.27882	13	37	42
-2.97397	53.7864	2018	10	16	-1.828	-2.3214	13	37	44
-2.97483	53.7861	2018	10	16	-1.739	-2.26828	13	38	5
-2.97364	53.786	2018	10	16	-1.868	-2.30492	13	38	6
-2.9751	53.7864	2018	10	16	-1.649	-2.32273	13	38	41
-2.97473	53.7859	2018	10	16	-1.284	-2.26331	13	38	59
-2.9741	53.786	2018	10	16	-1.851	-2.33314	13	39	0
-2.97527	53.7857	2018	10	16	-1.513	-2.28641	13	39	5
-2.97447	53.7853	2018	10	16	-1.577	-2.31568	13	39	10
-2.97514	53.7863	2018	10	16	-1.61	-2.27573	13	39	18
-2.97502	53.786	2018	10	16	-1.533	-2.31842	13	39	30
-2.97418	53.7865	2018	10	16	-1.887	-2.33732	13	39	32
-2.97426	53.7863	2018	10	16	-1.669	-2.2813	13	39	44
