-----------------------------------------------------------------------------------------
X	Y	year	month	day	Mag	Z(m)	hr	min	sec	stage
-----------------------------------------------------------------------------------------
335839	432774	2019	8	13	-1.542	-2158	20	38	56	1
335832	432782	2019	8	13	-1.644	-2151.99	20	39	4	1
335830	432771	2019	8	13	-0.874	-2145.14	20	39	5	1
335824	432752	2019	8	13	-1.677	-2124.29	20	41	27	1
335847	432787	2019	8	13	-1.684	-2134.09	21	12	8	1
335839	432754	2019	8	13	-1.826	-2111.41	21	12	20	1
335839	432778	2019	8	13	-1.381	-2147.82	23	27	51	1
335838	432828	2019	8	13	-1.167	-2132.79	23	27	58	1
335832	432776	2019	8	14	-0.873	-2151.57	4	20	59	1
335836	432766	2019	8	14	-1.413	-2145.27	4	21	25	1
335837	432772	2019	8	14	-1.668	-2108.44	4	21	33	1
335827	432780	2019	8	14	-0.456	-2141.77	4	22	3	1
336522	432503	2019	8	14	-1.539	-2171.59	10	15	9	1
335855	432735	2019	8	14	-1.25	-2107.44	13	26	0	1
335852	432763	2019	8	15	-1.558	-2123.49	9	59	41	1
335849	432764	2019	8	15	-1.337	-2151.76	10	0	2	1
335845	432797	2019	8	15	-1.42	-2111	10	0	46	1
335830	432765	2019	8	15	-0.938	-2143.69	10	0	50	1
335833	432784	2019	8	15	-1.272	-2118.29	10	1	23	1
335850	432756	2019	8	15	-1.397	-2145.2	10	1	29	1
335821	432780	2019	8	15	-0.985	-2138.25	10	1	53	1
335838	432775	2019	8	15	-1.279	-2115.54	10	2	12	1
335837	432761	2019	8	15	-1.16	-2143.5	10	2	21	1
335851	432759	2019	8	15	-1.345	-2130.13	10	2	27	1
335844	432767	2019	8	15	-1.324	-2124.8	10	2	32	1
335852	432802	2019	8	15	-1.626	-2112.8	10	3	3	1
335848	432777	2019	8	15	-0.953	-2131.43	10	3	9	1
335834	432781	2019	8	15	-1.799	-2111.47	10	3	12	1
335832	432780	2019	8	15	-1.567	-2123.34	10	3	34	1
335860	432839	2019	8	15	-1.704	-2130.93	10	4	10	1
335868	432752	2019	8	15	-1.707	-2119.21	10	4	52	1
335814	432809	2019	8	15	-1.78	-2109.43	10	5	7	1
335856	432823	2019	8	15	-1.792	-2127.29	10	5	48	1
335829	432796	2019	8	15	-0.401	-2126.52	10	6	28	1
335821	432792	2019	8	15	-1.215	-2132.22	10	6	29	1
335836	432798	2019	8	15	-1.206	-2124.85	10	7	6	1
335837	432815	2019	8	15	-1.69	-2118.16	10	10	8	1
335858	432717	2019	8	15	-1.716	-2144.16	10	13	2	1
335828	432824	2019	8	15	-1.754	-2111.95	10	18	27	1
335839	432702	2019	8	15	-1.831	-2090.42	10	18	40	1
335835	432830	2019	8	15	-1.694	-2117.99	10	21	20	1
335852	432800	2019	8	15	-1.757	-2141.59	10	22	2	1
335838	432720	2019	8	15	-1.66	-2036.13	10	30	19	1
335826	432737	2019	8	15	-1.711	-2088.17	10	33	6	1
335821	432805	2019	8	15	-1.39	-2141.89	10	33	58	1
335873	432649	2019	8	15	-1.744	-2123.28	10	34	54	1
335837	432807	2019	8	15	-1.056	-2131.4	10	36	3	1
335842	432801	2019	8	15	-1.679	-2046.39	10	36	21	1
335837	432808	2019	8	15	-1.809	-2040.65	10	37	40	1
335847	432777	2019	8	15	-1.83	-2132.08	10	37	59	1
335872	432698	2019	8	15	-1.624	-2087.43	10	39	4	1
335841	432755	2019	8	15	-1.481	-2114.81	10	41	35	1
335843	432762	2019	8	15	-0.843	-2134.29	10	41	50	1
335838	432707	2019	8	15	-1.644	-2101.89	10	42	15	1
335845	432823	2019	8	15	-1.546	-2131.4	10	42	52	1
335845	432813	2019	8	15	-1.12	-2128.3	10	43	14	1
335834	432729	2019	8	15	-1.345	-2133.29	10	43	16	1
335840	432739	2019	8	15	-1.525	-2115.53	10	43	27	1
335857	432751	2019	8	15	-1.371	-2115.21	10	43	32	1
335845	432758	2019	8	15	-0.537	-2132.58	10	43	42	1
335818	432774	2019	8	15	-1.591	-2126.79	10	43	48	1
335839	432767	2019	8	15	-1.387	-2111.85	10	43	51	1
335815	432755	2019	8	15	-1.328	-2117.1	10	43	53	1
335850	432784	2019	8	15	-1.507	-2124.93	10	44	12	1
335837	432732	2019	8	15	-1.253	-2132.75	10	44	19	1
335839	432742	2019	8	15	-1.422	-2142.71	10	44	30	1
335833	432837	2019	8	15	-1.617	-2128.93	10	44	34	1
335845	432774	2019	8	15	-1.553	-2113.64	10	44	42	1
335855	432790	2019	8	15	-1.489	-2124.79	10	44	44	1
335854	432755	2019	8	15	-1.391	-2114.69	10	44	46	1
335833	432722	2019	8	15	-1.385	-2056.32	10	44	55	1
335837	432801	2019	8	15	-1.498	-2112.84	10	44	58	1
335873	432667	2019	8	15	-1.652	-2108.38	10	44	59	1
335854	432739	2019	8	15	-0.738	-2126.74	10	45	1	1
335829	432823	2019	8	15	-1.361	-2110.98	10	45	16	1
335852	432752	2019	8	15	-1.397	-2115.21	10	45	23	1
335834	432802	2019	8	15	-1.303	-2110.37	10	45	23	1
335837	432772	2019	8	15	-1.393	-2128.41	10	45	29	1
335839	432782	2019	8	15	-1.204	-2127.71	10	45	30	1
335841	432748	2019	8	15	-1.358	-2121.68	10	45	43	1
335830	432794	2019	8	15	-1.395	-2132.73	10	45	45	1
335835	432755	2019	8	15	-1.447	-2134.07	10	45	47	1
335863	432750	2019	8	15	-1.41	-2109.84	10	45	54	1
335842	432774	2019	8	15	-1.315	-2115.87	10	45	58	1
335850	432794	2019	8	15	-1.414	-2145.55	10	46	2	1
335843	432778	2019	8	15	-1.389	-2115.76	10	46	12	1
335836	432769	2019	8	15	-1.372	-2118.98	10	46	14	1
335835	432801	2019	8	15	-1.372	-2117.92	10	46	18	1
335862	432755	2019	8	15	-1.112	-2126.89	10	46	23	1
335851	432762	2019	8	15	-0.768	-2120.97	10	46	29	1
335844	432747	2019	8	15	-1.435	-2111.66	10	46	32	1
335768	432769	2019	8	15	-1.509	-2126.68	10	46	34	1
335835	432806	2019	8	15	-1.288	-2108.57	10	46	38	1
335836	432761	2019	8	15	-1.079	-2115.72	10	46	40	1
335841	432747	2019	8	15	-1.386	-2108.48	10	46	41	1
335850	432758	2019	8	15	-1.409	-2116.33	10	46	42	1
335833	432776	2019	8	15	-1.397	-2112.27	10	46	44	1
335835	432772	2019	8	15	-1.376	-2124.28	10	46	51	1
335883	432708	2019	8	15	-1.446	-2136.14	10	46	56	1
335855	432744	2019	8	15	-1.44	-2129.97	10	47	4	1
335831	432773	2019	8	15	-1.434	-2132.29	10	47	8	1
335828	432759	2019	8	15	-1.361	-2107.58	10	47	23	1
335836	432762	2019	8	15	-1.23	-2114.8	10	47	25	1
335841	432767	2019	8	15	-1.574	-2106.29	10	47	30	1
335810	432780	2019	8	15	-1.367	-2127.52	10	47	38	1
335824	432848	2019	8	15	-1.508	-2147.52	10	47	41	1
335814	432767	2019	8	15	-1.235	-2118.14	10	47	54	1
335827	432691	2019	8	15	-1.284	-2114.93	10	47	59	1
335857	432748	2019	8	15	-0.949	-2129.38	10	48	3	1
335834	432769	2019	8	15	-1.314	-2116.18	10	48	13	1
335839	432775	2019	8	15	-0.913	-2125.33	10	48	14	1
335871	432717	2019	8	15	-1.546	-2088.7	10	48	16	1
335860	432748	2019	8	15	-1.351	-2104.01	10	48	17	1
335802	432748	2019	8	15	-1.398	-2067.93	10	48	27	1
335828	432695	2019	8	15	-0.746	-2046.96	10	48	30	1
335839	432685	2019	8	15	-0.67	-2095.43	10	48	31	1
335832	432782	2019	8	15	-1.529	-2045	10	48	37	1
335841	432711	2019	8	15	-1.388	-2083.01	10	48	55	1
335823	432851	2019	8	15	-1.078	-2121.71	10	49	0	1
335820	432680	2019	8	15	-1.358	-2100.52	10	49	9	1
335837	432748	2019	8	15	-1.111	-2109.08	10	49	13	1
335836	432717	2019	8	15	-1.064	-2085.4	10	49	14	1
335810	432803	2019	8	15	-1.259	-2120.97	10	49	22	1
335872	432855	2019	8	15	-1.539	-2116.14	10	49	23	1
335825	432753	2019	8	15	-1.288	-2114.52	10	49	25	1
335836	432655	2019	8	15	-0.771	-2054.5	10	49	35	1
335840	432719	2019	8	15	-1.378	-2037.91	10	49	36	1
335857	432761	2019	8	15	-1.257	-2031.33	10	49	43	1
335847	432678	2019	8	15	-1.298	-2028.89	10	49	44	1
335887	432718	2019	8	15	-1.462	-2088.77	10	49	49	1
335856	432726	2019	8	15	-1.47	-2128.76	10	49	50	1
335847	432859	2019	8	15	-1.5	-2074.6	10	49	53	1
335851	432735	2019	8	15	-1.239	-2098.59	10	49	55	1
335897	432788	2019	8	15	-1.713	-2134.98	10	49	56	1
335852	432763	2019	8	15	-1.348	-2100.32	10	49	57	1
335818	432885	2019	8	15	-1.371	-2141.27	10	49	58	1
335851	432774	2019	8	15	-1.316	-2101.97	10	50	0	1
335848	432771	2019	8	15	-0.567	-2133.89	10	50	3	1
335817	432836	2019	8	15	-1.177	-2141.89	10	50	9	1
335852	432725	2019	8	15	-1.497	-2113.28	10	50	10	1
335771	432743	2019	8	15	-1.439	-2149.44	10	50	11	1
335842	432729	2019	8	15	-1.37	-2047.78	10	50	13	1
335825	432822	2019	8	15	-1.365	-2120.94	10	50	15	1
335858	432845	2019	8	15	-1.521	-2115.51	10	50	18	1
