t,Magnitude,Latitude,Longitude,Depth,dt
115.046,4.72,29.277,102.278,-18000.0,6.212999999999994
121.259,4.72,29.277,102.278,-18000.0,6.212000000000003
127.471,4.72,29.277,102.278,-18000.0,6.212999999999994
133.684,4.72,29.277,102.278,-18000.0,3.9329999999999927
137.617,4.72,29.277,102.278,-15000.0,1.6750000000000114
139.292,4.72,29.277,102.278,-18000.0,4.469999999999999
143.762,4.975,29.277,102.278,-12000.0,0.8559999999999945
144.618,4.72,29.277,102.278,-18000.0,0.8859999999999957
145.504,4.72,29.277,102.278,-9000.0,1.0529999999999973
146.557,4.72,29.277,102.278,-6000.0,1.0060000000000002
147.563,4.721,29.277,102.278,-3000.0,2.082000000000022
149.645,4.72,29.277,102.278,-12000.0,0.07999999999998408
149.725,4.754,29.277,102.278,0.0,1.0570000000000164
150.782,4.72,29.277,102.278,-18000.0,1.0149999999999864
151.797,4.72,29.277,102.278,-9000.0,0.35599999999999454
152.153,4.72,29.277,102.278,-15000.0,0.6839999999999975
152.837,4.72,29.277,102.278,-6000.0,0.945999999999998
153.783,4.721,29.277,102.278,-3000.0,1.6570000000000107
155.44,4.7,23.252,102.825,-18000.0,0.39699999999999136
155.837,4.72,29.277,102.278,-12000.0,0.5060000000000002
156.343,4.72,29.277,102.278,-18000.0,0.5889999999999986
156.932,4.754,29.277,102.278,0.0,1.1170000000000186
158.049,4.72,29.277,102.278,-9000.0,0.15899999999999181
158.208,4.72,29.277,102.278,-15000.0,0.9089999999999918
159.117,4.72,29.277,102.278,-6000.0,0.8859999999999957
160.003,4.721,29.277,102.278,-3000.0,0.3780000000000143
160.381,4.7,23.252,102.825,-18000.0,1.554000000000002
161.935,4.72,29.277,102.278,-18000.0,0.05500000000000682
161.99,4.72,29.277,102.278,-12000.0,2.150999999999982
164.141,4.754,29.277,102.278,0.0,0.16100000000000136
164.302,4.975,29.277,102.278,-9000.0,1.021000000000015
165.323,4.7,23.252,102.825,-18000.0,0.0689999999999884
165.392,4.72,29.277,102.278,-6000.0,0.8290000000000077
166.221,4.721,29.277,102.278,-3000.0,1.024000000000001
167.245,4.72,29.277,102.278,-18000.0,0.6219999999999857
167.867,4.72,29.277,102.278,-12000.0,2.397999999999996
170.265,4.7,23.252,102.825,-18000.0,0.2880000000000109
170.553,4.72,29.277,102.278,-9000.0,0.7810000000000059
171.334,4.754,29.277,102.278,0.0,0.3499999999999943
171.684,4.72,29.277,102.278,-6000.0,0.7620000000000005
172.446,4.721,29.277,102.278,-3000.0,0.9629999999999939
173.409,4.976,29.277,102.278,-18000.0,0.3300000000000125
173.739,4.72,29.277,102.278,-12000.0,1.4679999999999893
175.207,4.7,23.252,102.825,-18000.0,1.5800000000000125
176.787,4.72,29.277,102.278,-9000.0,1.2299999999999898
178.017,4.72,29.277,102.278,-6000.0,0.47100000000000364
178.488,4.99,29.277,102.278,0.0,0.22499999999999432
178.713,4.72,29.277,102.278,-18000.0,1.436000000000007
180.149,4.7,23.252,102.825,-18000.0,0.5380000000000109
180.687,4.72,29.277,102.278,-12000.0,0.5339999999999918
181.221,4.72,29.277,102.278,-15000.0,1.799999999999983
183.021,4.72,29.277,102.278,-9000.0,0.9520000000000266
183.973,4.72,29.277,102.278,-6000.0,0.3039999999999736
184.277,4.72,29.277,102.278,-18000.0,0.8140000000000214
185.091,4.7,23.252,102.825,-18000.0,0.2539999999999907
